"Código SIGEP","Nombre de la entidad","Nit","Orden","Suborden","Código DIVIPOLA Departamento","Departamento","Código DIVIPOLA Municipio ","Municipio","Clasificación Orgánica","Sector","Nivel","Tipo de Vinculacíon ","Naturaleza jurídica ","Longitud","Latitud","Año","Trimestre","Fuente","Tipo nombramiento: Asesor","Tipo nombramiento: Profesional","Tipo nombramiento: Técnico","Tipo nombramiento: Directivo","Tipo nombramiento: Asistencial","Tipo nombramiento: Otro","Tipo nombramiento: Provisional","Tipo nombramiento: Libre Nombramiento Y Remoción","Tipo nombramiento: Temporal","Tipo nombramiento: Trabajador Oficial","Tipo nombramiento: Escalafonado En Carrera","Tipo nombramiento: Elección Popular","Tipo nombramiento: Periodo Fijo","Tipo nombramiento: Periodo De Prueba","Edad: Menor o igual a 29","Edad: 30-39","Edad: 40-49","Edad: 50-62","Edad: 63 y más","Edad: No reporta","Sexo: Hombre","Sexo: Mujer","Estado civil: Casado/a","Estado civil: Soltero/a","Estado civil: Unión Libre","Estado civil: Divorciado/a","Estado civil: Viudo/a","Estado civil: No reporta","Tipo de discapacidad: Intelectual","Tipo de discapacidad: Fisica","Tipo de discapacidad: Visual","Tipo de discapacidad: Psicosocial","Tipo de discapacidad: Múltiple","Tipo de discapacidad: Auditiva","Tipo de discapacidad: Otra","Salario mensual promedio","Nivel educativo: Primaria","Nivel educativo: Secundaria","Nivel educativo: Técnico - Tecnólogo","Nivel educativo: Profesional","Nivel educativo: Especialización","Nivel educativo: Maestría","Nivel educativo: Doctorado","Nivel educativo: No reporta","Número hijos: 0","Número hijos: 1","Número hijos: 2","Número hijos: 3","Número hijos: 4 o más","Número hijos: No reporta","Vinculados","meta_vinculacion","cumplimiento"
"1196","ALCALDIA DE TOCANCIPA","899999428","TERRITORIAL","MUNICIPAL","25","CUNDINAMARCA","25817","TOCANCIPÁ","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-73,910823","4,965002","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","62","42","24","4","0","0","0","0","0","0","0","0","36","0","0","72","0","0","0","0","0","0","0","0","0","0","0","0","32","28","14","4","14","12","16","160","5","Cumple"
"1681","CONCEJO DE GUICAN","800099202","TERRITORIAL","MUNICIPAL","15","BOYACÁ","15332","GÜICÁN DE LA SIERRA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL","-72,412077","6,463042","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","63","1","Cumple"
"2157","CONCEJO DE FUNZA","832001640","TERRITORIAL","MUNICIPAL","25","CUNDINAMARCA","25286","FUNZA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL","-74,21225","4,717029","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","12","12","84","1","Cumple"
"2732","DEPARTAMENTO ADMINISTRATIVO DE LA DEFENSORIA DEL ESPACIO PUBLICO","899999061","TERRITORIAL","DISTRITAL","11","BOGOTÁ, D.C.","11001","BOGOTÁ, D.C.","RAMA EJECUTIVA","NO APLICA","CENTRAL","VINCULADAS","DEPARTAMENTO ADMINISTRATIVO","-74,072092","4,710989","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","3","0","42","21","0","6","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","24","0","0","21","18","3","84","2","Cumple"
"2851","E.S.E HOSPITAL SAN CARLOS","891200453","TERRITORIAL","MUNICIPAL","52","NARIÑO","52693","SAN PABLO","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","NO APLICA","EMPRESAS SOCIALES DEL ESTADO","-77,012855","1,669165","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","5","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","30","30","0","0","70","1","Cumple"
"3042","CENTRO HOSPITAL GUAITARILLA","814002021","TERRITORIAL","MUNICIPAL","52","NARIÑO","52320","GUAITARILLA","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO","-77,550994","1,130349","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","3","18","0","0","0","0","21","NULL","Cumple"
"3320","HOSPITAL  SARARE  -SARAVENA","800231215","TERRITORIAL","MUNICIPAL","81","ARAUCA","81736","SARAVENA","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO","-71,872595","6,956107","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","5","0","0","5","20","2","Cumple"
"3583","HOSPITAL SAN JOSE DE MAICAO DE NIVEL II","892120115","TERRITORIAL","MUNICIPAL","44","LA GUAJIRA","44430","MAICAO","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO","-72,248517","11,378934","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","0","24","0","0","0","0","0","0","0","0","0","54","0","0","99","0","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0","0","12","21","144","2","Cumple"
"3638","HOSPITAL UNIVERSITARIO DE SANTANDER","900006037","TERRITORIAL","DEPARTAMENTAL","68","SANTANDER","68001","BUCARAMANGA","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO","-73,122742","7,119349","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","14","10","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","22","2","0","0","0","2","26","1","Cumple"
"3639","HOSPITAL UNIVERSITARIO DEL CARIBE -- CARTAGENA, BOLIVAR","900042103","TERRITORIAL","DISTRITAL","13","BOLÍVAR","13001","CARTAGENA DE INDIAS","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO","-75,479426","10,391049","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","28","28","0","0","0","0","0","0","0","0","0","0","0","28","0","20","0","0","0","0","0","0","0","0","0","0","0","60","24","0","0","0","0","84","1","Cumple"
"3702","SOR TERESA ADELE EL DONCELLO - CAQUETA","900211460","TERRITORIAL","MUNICIPAL","18","CAQUETÁ","18247","EL DONCELLO","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO","-75,283335","1,680042","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","55","17","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","36","12","24","12","0","1","85","5","Cumple"
"4045","EMPRESA DE SERVICIOS PUBLICOS SOLIDARIOS DE CHIA - EMSERCHIA","899999714","TERRITORIAL","MUNICIPAL","25","CUNDINAMARCA","25175","CHÍA","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL","-74,050916","4,864758","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","5","5","Cumple"
"4408","GOBERNACION DE CHOCO","891680010","TERRITORIAL","DEPARTAMENTAL","27","CHOCÓ","27001","QUIBDÓ","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","GOBERNACIÓN","-76,649812","5,695633","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","270","634","224","0","0","0","0","0","0","0","0","0","0","0","688","0","0","0","0","0","0","0","0","0","0","0","0","0","776","0","0","12","192","4","1,368","3","Cumple"
"4537","INSTITUTO DE DEPORTE Y RECREACION DEL META - IDERMETA","822002510","TERRITORIAL","MUNICIPAL","50","META","50001","VILLAVICENCIO","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO","-73,63769","4,151382","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","40","12","2","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","8","10","70","1","Cumple"
"8243","METRO DE BOGOTA S.A.","NULL","TERRITORIAL","DISTRITAL","11","BOGOTÁ, D.C.","11001","BOGOTÁ, D.C.","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","SOCIEDAD DE ECONOMÍA MIXTA","-74,072092","4,710989","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8","6","0","1","0","0","22","2","Cumple"
"8344","FONDO DE DESARROLLO LOCAL PUENTE ARANDA BOGOTA","NULL","TERRITORIAL","DISTRITAL","11","BOGOTÁ, D.C.","11001","BOGOTÁ, D.C.","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","FONDO CUENTA CON PERSONERÍA JURÍDICA","-74,072092","4,710989","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","Cumple"
"0262","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","890399002","NACIONAL","NO APLICA","76","VALLE DEL CAUCA","76001","CALI","ORGANOS AUTÓNOMOS","AMBIENTE Y DESARROLLO SOSTENIBLE","NO APLICA","NO APLICA","ORGANOS AUTÓNOMOS","-76,531985","3,451647","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","28","28","28","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","126","0","0","0","0","0","126","14","Cumple"
"0263","CORPORACION AUTONOMA REGIONAL DEL QUINDIO","890000447","NACIONAL","NO APLICA","63","QUINDÍO","63001","ARMENIA","ORGANOS AUTÓNOMOS","AMBIENTE Y DESARROLLO SOSTENIBLE","NO APLICA","NO APLICA","ORGANOS AUTÓNOMOS","-75,675689","4,535","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","30","50","10","0","0","0","0","0","0","0","0","60","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","60","20","20","0","0","60","10","110","2","Cumple"
"0399","ALCALDIA DE GUACHENE","900127183","TERRITORIAL","MUNICIPAL","19","CAUCA","19300","GUACHENÉ","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-76,2333","3,0801","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","6","NULL","Cumple"
"0475","ALCALDIA DE SAN JUAN DE GIRON","890204802","TERRITORIAL","MUNICIPAL","68","SANTANDER","68307","GIRÓN","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-73,169265","7,073968","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","18","10","0","0","0","0","0","0","0","0","0","0","0","20","0","4","0","0","0","0","0","0","0","0","0","0","0","21","2","1","1","16","2","43","3","Cumple"
"0724","ALCALDIA DE LIBORINA","890983672","TERRITORIAL","MUNICIPAL","05","ANTIOQUIA","05411","LIBORINA","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-75,811744","6,67745","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","15","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","15","0","15","1","Cumple"
"0906","ALCALDIA DE PUEBLO NUEVO","800096766","TERRITORIAL","MUNICIPAL","23","CÓRDOBA","23570","PUEBLO NUEVO","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-75,507409","8,50502","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","Cumple"
"0993","ALCALDIA DE SALENTO","890001127","TERRITORIAL","MUNICIPAL","63","QUINDÍO","63690","SALENTO","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-75,570777","4,637376","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","10","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","5","5","0","0","25","1","Cumple"
"1039","ALCALDIA DE SAN JOSE DEL GUAVIARE","800103180","TERRITORIAL","MUNICIPAL","95","GUAVIARE","95001","SAN JOSÉ DEL GUAVIARE","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-72,641727","2,568549","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","6","2","Cumple"
"1119","ALCALDIA DE SEVILLA VALLE","800100527","TERRITORIAL","MUNICIPAL","76","VALLE DEL CAUCA","76736","SEVILLA","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-75,931004","4,274378","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","10","20","1","Cumple"
"1397","CAJA DE VIVIENDA POPULAR","899999074","TERRITORIAL","DISTRITAL","11","BOGOTÁ, D.C.","11001","BOGOTÁ, D.C.","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO","-74,072092","4,710989","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57","33","0","0","3","0","0","0","0","0","0","0","0","39","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","9","15","93","1","Cumple"
"2649","CONTRALORIA DEPARTAMENTAL DEL CAQUETA","891190246","TERRITORIAL","DEPARTAMENTAL","18","CAQUETÁ","18001","FLORENCIA","ORGANOS DE CONTROL","NO APLICA","NO APLICA","NO APLICA","CONTRALORÍA DEPARTAMENTAL","-75,604236","1,615386","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","18","0","0","0","0","21","NULL","Cumple"
"2977","CENTRO DE SALUD LOS PALMITOS - SUCRE","823002541","TERRITORIAL","MUNICIPAL","70","SUCRE","70418","LOS PALMITOS","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO","-75,27095","9,380494","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","44","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","24","24","0","0","56","1","Cumple"
"3284","HOSPITAL  SAN VICENTE DE PAUL  - MISTRATO","891412126","TERRITORIAL","MUNICIPAL","66","RISARALDA","66456","MISTRATÓ","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO","-75,882128","5,299077","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","35","1","Cumple"
"4125","EMPRESA DE SERVICIOS PUBLICOS LA CIMARRONA - CARMEN DE VIBORAL","811011532","TERRITORIAL","MUNICIPAL","05","ANTIOQUIA","05148","EL CARMEN DE VIBORAL","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL","-75,337384","6,082178","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","12","0","0","0","0","28","2","Cumple"
"4179","EMPRESA DE DESARROLLO URBANO DE BARRANCABERMEJA -EDUBA","890270833","TERRITORIAL","MUNICIPAL","68","SANTANDER","68081","BARRANCABERMEJA","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO","-73,851932","7,061708","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","6","1","Cumple"
"4400","GOBERNACION DE AMAZONAS","899999336","TERRITORIAL","DEPARTAMENTAL","91","AMAZONAS","91001","LETICIA","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","GOBERNACIÓN","-69,935907","-4,203165","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","49","294","77","0","0","0","0","0","0","0","0","0","0","0","0","315","0","0","0","0","0","0","0","0","0","0","0","0","0","189","42","0","42","56","7","427","8","Cumple"
"4408","GOBERNACION DE CHOCO","891680010","TERRITORIAL","DEPARTAMENTAL","27","CHOCÓ","27001","QUIBDÓ","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","GOBERNACIÓN","-76,649812","5,695633","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","360","405","951","336","0","0","0","0","0","0","0","0","0","0","0","1032","0","0","0","0","0","0","0","0","0","0","0","0","0","1164","0","0","18","288","6","2,052","NULL","Cumple"
"4515","INSTITUCION UNIVERSITARIA DE ENVIGADO","811000278","TERRITORIAL","MUNICIPAL","05","ANTIOQUIA","05266","ENVIGADO","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO","-75,587364","6,169611","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","40","2","0","0","0","0","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","6","24","12","12","0","2","56","2","Cumple"
"6218","UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS","900126860","TERRITORIAL","DISTRITAL","11","BOGOTÁ, D.C.","11001","BOGOTÁ, D.C.","RAMA EJECUTIVA","NO APLICA","DESCENTRALIZADO","ADSCRITAS","UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA","-74,072092","4,710989","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","49","49","0","0","14","0","0","0","0","0","0","21","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","21","0","49","49","0","7","7","147","3","Cumple"
"8044","AGENCIA PRESIDENCIAL DE COOPERACION INTERNACIONAL DE COLOMBIA","900484852","NACIONAL","NO APLICA","11","BOGOTÁ, D.C.","11001","BOGOTÁ, D.C.","RAMA EJECUTIVA","PRESIDENCIA DE LA REPÚBLICA","DESCENTRALIZADO","ADSCRITAS","UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA","-74,072092","4,710989","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156","0","84","0","0","0","0","0","0","0","0","0","36","0","0","72","0","24","0","0","0","0","0","0","0","0","0","0","36","48","108","0","0","12","12","240","2","Cumple"
